scenario,users_per_cohort,day,bps_1nft,bps_3nft,nft_count_1,nft_count_3,effective_stake_1,effective_stake_3,share_1,share_3,reward_per_user_1,reward_per_user_3,cum_reward_per_user_1,cum_reward_per_user_3,raw_stake_1,raw_stake_3,daily_emission,cumulative_emission
B,100,193,5404,15054,193,579,97441.38653604979,275055.2454909933,0.26158998003766,0.7384100199623399,169.2101992585055,477.6425557061342,63106.40737924409,109942.60523272112,63426.40737924409,110262.60523272112,64685.275496463975,17304901.26119652
B,100,194,5432,15132,194,582,97879.63186764948,277111.97947087476,0.261018190562371,0.7389818094376291,168.2309567531314,476.28717583629884,63274.638335997224,110418.89240855743,63594.638335997224,110738.89240855743,64451.81325894302,17369353.074455462
B,100,195,5460,15210,195,585,98317.31086745171,279172.74776197324,0.2604500664849773,0.7395499335150227,167.25755349568763,474.92908808589556,63441.89588949291,110893.82149664332,63761.89588949291,111213.82149664332,64218.66415815832,17433571.73861362
B,100,196,5488,15288,196,588,98754.42435364661,281237.5118007116,0.25988557902852744,0.7401144209714726,166.28994831611354,473.5683652452559,63608.185837809026,111367.38986188857,63928.185837809026,111687.38986188857,63985.83135613694,17497557.56996976
B,100,197,5516,15366,197,591,99190.97314594449,283306.23312366655,0.25932469968428395,0.740675300315716,165.32810048964305,472.20507969304873,63773.51393829867,111839.59494158161,64093.51393829867,112159.59494158161,63753.31801826918,17561310.887988027
B,100,198,5544,15444,198,594,99626.95806569145,285378.8733693603,0.2587674002088406,0.7412325997911594,164.37196972849816,470.8393033910688,63937.885908027165,112310.43424497268,64257.885908027165,112630.43424497268,63521.1273119567,17624832.015299983
B,100,199,5572,15522,199,597,100062.3799359799,287455.3942800193,0.25821365262127555,0.7417863473787245,163.42151617427967,469.47110788062105,64101.30742420145,112779.9053528533,64421.30742420145,113099.9053528533,63289.26240549007,17688121.277705472
B,100,200,5600,15600,200,600,100497.23958175426,289535.75770330447,0.2576634292003378,0.7423365707996623,162.4767003901832,468.1005642780393,64263.78412459163,113248.00591713133,64583.78412459163,113568.00591713133,63057.72646682224,17751179.004172295
B,100,201,5628,15678,201,603,100931.53782991179,291619.92559400987,0.2571167024816679,0.7428832975183323,161.53748335349172,466.72774327062916,64425.32160794512,113714.73366040197,64745.32160794512,114034.73366040197,62826.52266241208,17814005.526834708
B,100,202,5656,15756,202,606,101365.27550939888,293707.86001573125,0.25657344525505243,0.7434265547449476,160.60382644843716,465.3527151133188,64585.92543439356,114180.08637551528,64905.92543439356,114500.08637551528,62595.6541561756,17876601.180990882
